                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.05655,                0.07594,                0.75288,                0.97277,                0.98029,                0.99014,                0.84257,                 0.3742,                0.30922,                 1.0978,             0.00021235,             0.00021235,             0.00021235
                     89,                0.04408,                0.06848,                0.75364,                0.97625,                0.97487,                0.98991,                0.84113,                0.37333,                0.31325,                 1.1036,              0.0001982,              0.0001982,              0.0001982
                     90,                0.04122,                0.06577,                0.75387,                0.97137,                0.98138,                0.98997,                0.84083,                0.37855,                0.31089,                 1.1032,             0.00018406,             0.00018406,             0.00018406
                     91,                0.04091,                0.06493,                 0.7527,                0.97542,                0.97538,                0.98977,                0.84246,                 0.3748,                0.31085,                 1.1054,             0.00016991,             0.00016991,             0.00016991
                     92,                0.04136,                0.06417,                 0.7541,                0.96943,                 0.9806,                0.98974,                0.84073,                0.37936,                 0.3107,                  1.112,             0.00015576,             0.00015576,             0.00015576
                     93,                0.03783,                0.06251,                0.75394,                0.97644,                0.97399,                0.99003,                0.84049,                0.37697,                0.31008,                 1.1079,             0.00014161,             0.00014161,             0.00014161
                     94,                0.03656,                 0.0617,                0.75343,                0.97464,                0.97807,                0.99036,                 0.8423,                0.37681,                 0.3092,                 1.1092,             0.00012747,             0.00012747,             0.00012747
                     95,                0.03706,                0.06225,                0.75402,                0.97839,                0.97359,                 0.9903,                0.84139,                0.37714,                0.31246,                 1.1079,             0.00011332,             0.00011332,             0.00011332
                     96,                0.03912,                0.06249,                0.75434,                0.97102,                0.98062,                 0.9898,                0.84338,                0.37439,                0.31269,                 1.1159,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.03865,                0.06399,                0.75156,                0.96795,                0.98241,                0.98985,                0.84252,                  0.374,                0.31251,                 1.1124,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.03509,                0.05919,                0.75292,                0.97381,                0.97603,                0.98994,                0.84278,                0.37246,                0.31205,                 1.1067,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.03379,                0.05828,                0.75301,                 0.9759,                0.97589,                0.99013,                 0.8428,                0.37712,                0.31249,                 1.1092,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.03188,                0.05662,                0.75088,                0.97786,                0.97348,                 0.9901,                0.84275,                0.37629,                0.31293,                 1.1071,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      1,                0.93991,                  3.115,                 1.0192,                0.04771,                0.87083,                0.25641,                0.19325,                 0.7104,                    inf,                0.86251,             0.00015554,             0.00015554,             0.00015554
                      2,                0.38603,                 1.3963,                0.83053,                0.59212,                0.38201,                0.51754,                0.45761,                0.45408,                 2.5074,                  0.835,               0.000319,               0.000319,               0.000319
                      3,                0.27394,                0.59026,                0.80551,                0.69821,                0.60143,                 0.6545,                0.60819,                0.38321,                 1.9511,                0.82894,             0.00047916,             0.00047916,             0.00047916
                      4,                0.24789,                0.43334,                0.79007,                 0.7761,                0.70067,                0.78266,                0.72729,                0.35232,                 1.5659,                0.80468,             0.00063602,             0.00063602,             0.00063602
                      5,                0.21865,                0.41679,                0.77832,                0.85605,                0.85799,                0.87603,                  0.818,                0.36131,                 1.2755,                0.79824,             0.00078958,             0.00078958,             0.00078958
                      6,                0.21052,                0.37971,                0.77782,                0.82087,                0.78863,                0.79316,                0.75271,                0.31918,                 1.4702,                0.79533,             0.00093984,             0.00093984,             0.00093984
                      7,                  0.203,                0.35998,                0.77548,                0.85868,                0.88062,                0.92326,                0.87378,                0.33596,                 1.0295,                0.79982,               0.001045,               0.001045,               0.001045
                      8,                0.20813,                0.33781,                0.77332,                0.91906,                0.92288,                 0.9588,                0.90844,                0.32472,                0.72269,                0.79464,               0.001045,               0.001045,               0.001045
                      9,                 0.2224,                0.33522,                0.78056,                0.85044,                0.86384,                0.94283,                0.89976,                0.30737,                  1.001,                0.78897,               0.001034,               0.001034,               0.001034
                     10,                0.19815,                0.30662,                0.77481,                  0.982,                0.94923,                0.99211,                 0.9625,                0.27261,                 0.5708,                 0.7863,               0.001023,               0.001023,               0.001023
                     11,                0.17827,                0.28504,                0.77194,                0.98821,                0.99339,                0.99497,                0.97211,                0.25449,                0.40505,                0.78003,               0.001012,               0.001012,               0.001012
                     12,                0.17874,                0.30782,                0.76999,                0.70901,                0.77015,                0.84573,                0.79438,                0.33245,                 1.0973,                0.81621,               0.001001,               0.001001,               0.001001
                     13,                0.19893,                0.30178,                0.77586,                0.80548,                0.75587,                0.85358,                0.83431,                0.25688,                0.90942,                0.78322,             0.00099001,             0.00099001,             0.00099001
                     14,                0.16541,                0.26881,                0.77008,                0.86448,                0.89101,                0.92343,                 0.9059,                0.22447,                0.61021,                0.77557,             0.00097901,             0.00097901,             0.00097901
                     15,                 0.1557,                 0.2408,                0.76704,                0.99352,                0.98266,                0.99489,                 0.9831,                0.21618,                0.29183,                0.77348,             0.00096801,             0.00096801,             0.00096801
                     16,                0.16254,                0.23282,                0.76649,                0.99933,                0.99939,                  0.995,                0.98818,                0.19436,                0.24816,                0.77157,             0.00095702,             0.00095702,             0.00095702
                     17,                0.15717,                0.22152,                0.76887,                0.99976,                0.99981,                  0.995,                0.98893,                0.19163,                0.24075,                0.77097,             0.00094602,             0.00094602,             0.00094602
                     18,                0.15187,                0.21362,                  0.767,                0.99976,                0.99962,                  0.995,                0.98775,                0.18855,                0.22492,                0.77081,             0.00093502,             0.00093502,             0.00093502
                     19,                0.14964,                0.20713,                0.76587,                 0.9996,                0.99911,                  0.995,                0.99252,                 0.1609,                0.21566,                0.76795,             0.00092402,             0.00092402,             0.00092402
                     20,                0.14214,                0.19993,                 0.7637,                0.99957,                 0.9997,                  0.995,                0.99241,                0.15052,                 0.1946,                0.76597,             0.00091302,             0.00091302,             0.00091302
                     21,                 0.1299,                0.18663,                0.76316,                0.99967,                 0.9997,                  0.995,                 0.9871,                0.18243,                0.20449,                0.76951,             0.00090202,             0.00090202,             0.00090202
                     22,                0.13845,                0.19069,                0.76412,                0.99946,                0.99964,                  0.995,                0.99271,                0.17065,                0.19972,                0.76863,             0.00089102,             0.00089102,             0.00089102
                     23,                0.13506,                 0.1906,                0.76112,                0.94134,                0.94932,                0.98983,                0.97855,                0.18971,                0.36147,                0.77379,             0.00088002,             0.00088002,             0.00088002
                     24,                0.12826,                0.18095,                 0.7618,                0.99556,                0.99513,                0.99475,                0.99194,                0.16396,                0.20966,                 0.7676,             0.00086902,             0.00086902,             0.00086902
                     25,                0.13113,                0.17809,                0.76481,                0.99739,                0.99735,                0.99459,                0.99288,                0.15145,                 0.1893,                0.76598,             0.00085803,             0.00085803,             0.00085803
                     26,                0.11954,                  0.179,                0.76013,                0.98928,                0.98944,                0.99491,                0.99123,                 0.1745,                0.21746,                0.76967,             0.00084703,             0.00084703,             0.00084703
                     27,                0.13582,                0.19994,                0.76401,                0.94226,                0.95824,                0.98436,                0.98115,                0.15756,                0.32455,                0.76765,             0.00083603,             0.00083603,             0.00083603
                     28,                 0.1225,                0.17119,                0.76179,                 0.9955,                0.99461,                0.99494,                 0.9911,                0.16211,                0.20238,                0.76709,             0.00082503,             0.00082503,             0.00082503
                     29,                0.12709,                0.16728,                0.76112,                0.99917,                0.99917,                  0.995,                0.99348,                0.14469,                0.18046,                0.76602,             0.00081403,             0.00081403,             0.00081403
                     30,                 0.1185,                0.15904,                0.76447,                 0.9994,                0.99975,                  0.995,                 0.9944,                0.13915,                0.16795,                0.76437,             0.00080303,             0.00080303,             0.00080303
                     31,                 0.1155,                0.15334,                0.75848,                 0.9995,                0.99934,                  0.995,                0.99356,                0.15763,                0.16955,                0.76608,             0.00079203,             0.00079203,             0.00079203
                     32,                0.11325,                 0.1497,                 0.7619,                0.99912,                 0.9995,                  0.995,                0.99421,                0.13856,                0.15998,                0.76451,             0.00078103,             0.00078103,             0.00078103
                     33,                0.12165,                0.15202,                0.76229,                0.99926,                      1,                  0.995,                0.99381,                0.13669,                0.15754,                0.76498,             0.00077003,             0.00077003,             0.00077003
                     34,                0.11758,                0.14733,                0.75983,                0.99951,                0.99984,                  0.995,                0.99437,                0.13053,                0.16289,                0.76487,             0.00075904,             0.00075904,             0.00075904
                     35,                0.11316,                0.14588,                 0.7597,                0.99966,                0.99986,                  0.995,                0.99353,                0.14167,                0.15384,                0.76469,             0.00074804,             0.00074804,             0.00074804
                     36,                0.11514,                0.14366,                0.76049,                0.99962,                0.99972,                  0.995,                 0.9938,                 0.1556,                 0.1564,                0.76671,             0.00073704,             0.00073704,             0.00073704
                     37,                0.12125,                0.14671,                0.75846,                0.99978,                      1,                  0.995,                0.99274,                0.14001,                0.14928,                0.76462,             0.00072604,             0.00072604,             0.00072604
                     38,                0.10682,                0.14117,                 0.7591,                0.99439,                0.99228,                0.99479,                0.99346,                0.12813,                0.16481,                0.76465,             0.00071504,             0.00071504,             0.00071504
